t,cmdty,market_name,district_name,variety,p_min,p_max,p_modal,date,price_info
2025-04-02,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-02,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-03,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-03,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-03,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-03,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-03,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-03,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-04-04,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-04,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-04,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-04,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-04,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-04-04,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-04,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-04,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-04-05,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-05,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-05,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-05,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-05,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-05,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-04-06,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-06,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-06,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-06,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-06,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-04-06,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-06,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-06,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-04-07,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,15000,17000,17000,2025-04-07,"Minimum Price: ₹15000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-07,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-04-07,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-07,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-04-07,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-08,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,16000,16000,16000,2025-04-08,"Minimum Price: ₹16000, Maximum Price: ₹16000, Modal Price: ₹16000"
2025-04-08,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-04-08,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-08,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,20000,22000,22000,2025-04-08,"Minimum Price: ₹20000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-09,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-09,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-09,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,22000,22000,22000,2025-04-09,"Minimum Price: ₹22000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-09,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-09,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-10,Chili Red,Anna nagar(Uzhavar Sandhai ),Madurai,Bold,20000,20000,20000,2025-04-10,"Minimum Price: ₹20000, Maximum Price: ₹20000, Modal Price: ₹20000"
2025-04-10,Chili Red,Rasipuram(Uzhavar Sandhai ),Namakkal,Bold,21000,22000,22000,2025-04-10,"Minimum Price: ₹21000, Maximum Price: ₹22000, Modal Price: ₹22000"
2025-04-10,Chili Red,Tiruppur (North) (Uzhavar Sandhai ),Coimbatore,Bold,16000,17000,17000,2025-04-10,"Minimum Price: ₹16000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-10,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,17000,17000,17000,2025-04-10,"Minimum Price: ₹17000, Maximum Price: ₹17000, Modal Price: ₹17000"
2025-04-11,Chili Red,Perambalur(Uzhavar Sandhai ),Perambalur,Bold,16000,16000,16000,2025-04-11,"Minimum Price: ₹16000, Maximum Price: ₹16000, Modal Price: ₹16000"
